Original ASF,Rounding ASF,Sort Code Name_encoded,Destination Station_encoded,Next Station_encoded
55900,55900,182,67,16
48800,48800,163,35,35
28400,28400,44,121,35
14700,14700,190,98,29
20300,20300,53,106,7
18300,18300,57,24,10
18300,18300,261,145,7
18300,18300,118,54,7
34600,34600,262,99,16
18300,18300,76,157,42
14200,14200,166,62,37
21300,21300,51,16,5
11000,11000,152,76,35
19000,19000,43,156,8
19800,19800,195,44,35
11200,11200,211,85,35
10100,10100,240,20,37
9100,9100,40,103,37
11500,11500,281,96,24
16200,16200,256,42,29
23400,23400,97,42,13
21300,21300,218,157,42
15200,15200,240,20,37
21300,21300,292,155,29
21300,21300,110,30,9
10100,10100,120,9,13
11200,11200,274,130,35
9100,9100,5,5,37
14700,14700,228,118,30
18300,18300,278,112,29
14700,14700,275,153,39
15700,15700,116,138,35
22300,22300,23,79,22
29400,29400,190,98,25
22300,22300,300,61,26
21300,21300,62,38,9
18300,18300,246,133,10
9100,9100,61,98,25
10100,10100,142,149,36
16200,16200,146,73,7
19800,19800,63,44,35
20300,20300,7,7,1
14700,14700,72,120,32
17200,17200,269,107,26
34400,34400,101,79,22
14700,14700,71,118,30
14200,14200,275,153,39
17200,17200,214,109,5
14700,14700,275,153,39
22400,22400,273,152,38
21300,21300,86,38,9
21300,21300,224,38,9
23400,23400,130,64,20
23400,23400,299,52,17
14700,14700,87,39,29
11500,11500,102,45,14
21300,21300,156,98,25
14700,14700,14,10,3
21300,21300,276,112,28
30400,30400,176,111,27
15200,15200,134,111,27
16200,16200,298,157,42
22300,22300,7,7,1
14700,14700,14,10,3
22300,22300,301,79,22
15200,15200,27,16,5
19800,19800,63,44,35
22300,22300,180,79,22
20300,20300,254,112,29
17300,17300,231,120,32
15200,15200,103,33,16
16200,16200,97,42,29
20300,20300,70,30,9
23400,23400,11,16,5
17300,17300,228,118,30
14700,14700,87,39,12
21300,21300,157,70,21
22300,22300,300,61,26
14700,14700,230,119,31
18300,18300,32,19,6
8500,8500,107,64,20
21300,21300,224,38,9
16200,16200,228,118,30
18300,18300,57,24,10
14000,14000,223,117,27
22300,22300,158,79,29
14700,14700,36,48,29
18300,18300,236,112,28
32500,32500,202,102,16
34600,34600,286,124,35
22300,22300,89,149,36
14700,14700,159,80,29
14700,14700,71,118,30
16200,16200,207,61,29
22300,22300,297,70,21
14700,14700,228,118,30
11700,11700,263,146,7
17200,17200,244,133,10
26400,26400,186,83,16
11600,11600,30,18,10
26400,26400,171,60,16
14700,14700,228,118,30
25400,25400,48,87,7
14700,14700,228,118,30
14700,14700,232,119,31
23400,23400,9,9,13
21300,21300,198,136,34
14700,14700,229,120,32
21300,21300,292,155,41
17300,17300,71,118,30
17300,17300,228,118,30
14700,14700,230,119,31
12000,12000,192,107,29
22300,22300,149,64,20
14700,14700,87,39,12
22300,22300,189,70,21
22400,22400,273,152,38
14700,14700,229,120,32
22300,22300,142,149,36
14700,14700,275,153,39
23400,23400,155,42,29
17300,17300,231,120,32
22300,22300,157,70,21
22300,22300,272,37,26
14700,14700,87,39,12
21500,21500,21,2,0
22300,22300,210,107,26
14700,14700,231,120,32
21500,21500,93,2,0
23400,23400,155,42,13
22300,22300,185,96,24
10100,10100,272,37,11
9100,9100,296,30,9
46800,46800,281,96,24
14700,14700,14,10,3
22300,22300,83,107,29
22400,22400,86,38,9
14700,14700,87,39,12
22300,22300,248,52,17
22300,22300,37,107,26
22400,22400,153,30,9
21300,21300,24,155,41
22300,22300,157,70,21
66900,66900,216,111,27
17300,17300,275,153,39
17300,17300,190,98,25
21500,21500,276,112,28
22300,22300,174,42,13
14700,14700,87,39,12
51600,51600,105,70,21
16200,16200,78,112,28
14700,14700,275,153,39
44600,44600,282,107,29
14700,14700,87,39,12
14700,14700,275,153,39
26400,26400,284,79,22
14700,14700,87,39,12
14700,14700,159,80,29
21300,21300,122,55,18
22400,22400,269,107,26
22400,22400,98,16,5
18300,18300,183,136,34
18300,18300,136,19,6
22300,22300,161,61,26
22300,22300,9,9,13
17300,17300,285,80,23
18300,18300,136,19,6
14700,14700,87,39,29
18300,18300,249,136,34
14700,14700,153,80,29
14700,14700,159,80,23
18300,18300,236,112,28
22400,22400,273,152,38
14700,14700,231,120,32
21300,21300,153,30,29
21300,21300,111,30,9
22300,22300,85,111,29
14700,14700,190,98,25
14700,14700,87,39,12
18300,18300,50,55,29
22300,22300,64,9,13
24000,24000,258,143,35
8500,8500,104,103,37
9000,9000,249,136,34
8000,8000,69,52,17
14700,14700,47,10,29
14700,14700,285,80,23
14200,14200,106,111,27
23400,23400,256,42,13
21300,21300,156,98,25
20300,20300,184,55,29
44600,44600,60,64,29
17200,17200,176,111,27
40600,40600,16,125,16
39600,39600,237,126,16
11600,11600,29,18,10
22300,22300,134,111,27
14700,14700,131,61,19
18300,18300,76,157,42
18300,18300,236,112,28
16200,16200,254,112,28
32400,32400,78,112,29
16200,16200,24,155,29
18300,18300,1,2,29
16200,16200,42,152,38
21300,21300,156,98,25
162000,162000,254,112,28
14700,14700,275,153,39
22300,22300,134,111,27
22400,22400,216,111,27
22400,22400,61,30,9
34600,34600,231,120,29
16200,16200,232,119,29
17300,17300,231,120,29
18300,18300,109,55,18
16200,16200,265,37,26
22300,22300,75,96,29
34600,34600,231,120,29
22300,22300,215,7,1
34600,34600,231,120,29
22400,22400,216,111,27
17300,17300,159,80,23
22300,22300,46,79,29
20300,20300,149,64,20
11600,11600,54,131,7
29400,29400,228,118,30
44600,44600,239,111,27
42600,42600,112,38,9
29400,29400,14,10,3
14700,14700,14,10,29
44600,44600,4,64,29
29400,29400,87,39,12
17200,17200,175,128,2
22300,22300,65,149,36
8100,8100,14,10,3
20300,20300,138,11,4
22400,22400,225,117,27
15700,15700,204,135,35
54800,54800,0,1,8
22300,22300,83,107,26
42600,42600,302,30,9
21300,21300,35,49,7
32500,32500,187,97,16
20300,20300,105,70,21
14700,14700,275,153,39
18300,18300,122,55,18
14700,14700,153,80,23
12000,12000,96,64,20
13000,13000,50,55,18
14500,14500,27,16,29
14000,14000,216,111,29
12000,12000,60,64,29
12000,12000,60,64,29
12500,12500,188,7,1
12000,12000,60,64,20
12500,12500,210,107,29
12000,12000,60,64,20
12500,12500,83,107,29
12000,12000,60,64,20
12000,12000,60,64,20
12500,12500,281,96,24
13000,13000,4,64,29
12000,12000,60,64,20
21300,21300,184,55,18
23000,23000,79,107,29
22400,22400,174,42,13
21300,21300,224,38,29
42600,42600,110,30,29
18300,18300,183,136,34
14700,14700,230,119,31
10100,10100,105,70,21
22300,22300,110,30,9
22300,22300,19,45,14
22300,22300,27,16,29
22300,22300,189,70,29
22300,22300,155,42,29
22400,22400,61,30,9
14700,14700,77,120,32
22300,22300,75,96,24
22300,22300,221,16,5
14700,14700,190,98,25
22300,22300,121,9,13
44600,44600,110,30,9
11500,11500,185,96,24
22300,22300,102,45,14
24400,24400,12,79,22
18200,18200,6,154,29
18300,18300,160,48,15
14700,14700,71,118,30
21300,21300,153,30,29
36600,36600,235,112,29
29400,29400,229,120,32
14700,14700,14,10,3
21300,21300,34,30,9
17300,17300,159,80,23
21300,21300,110,30,9
22300,22300,284,79,22
21300,21300,34,30,9
21300,21300,156,98,25
22300,22300,270,149,36
18300,18300,235,112,29
22400,22400,134,111,27
11000,11000,141,96,24
23400,23400,102,45,14
14700,14700,47,10,29
22300,22300,265,37,29
14700,14700,232,119,31
44600,44600,84,37,26
14700,14700,71,118,30
11000,11000,69,52,17
14700,14700,231,120,32
14700,14700,87,39,12
17300,17300,87,39,12
14700,14700,159,80,23
16200,16200,24,155,41
26000,26000,255,6,16
18300,18300,268,73,7
21300,21300,292,155,29
21300,21300,112,38,29
17300,17300,275,153,29
22400,22400,210,107,29
21300,21300,241,11,29
21300,21300,156,98,29
21300,21300,156,98,29
23400,23400,105,70,21
21300,21300,112,38,9
66900,66900,59,149,36
16200,16200,59,149,36
22300,22300,83,107,29
14700,14700,275,153,39
14700,14700,153,80,29
9100,9100,297,70,21
12500,12500,210,107,29
18300,18300,32,19,29
9100,9100,144,70,21
18300,18300,76,157,42
22300,22300,210,107,26
23400,23400,113,52,17
14200,14200,107,64,20
20300,20300,130,64,29
14700,14700,14,10,3
152000,152000,22,50,35
32400,32400,209,105,7
42600,42600,135,46,2
18300,18300,278,112,29
17200,17200,14,10,29
22400,22400,185,96,29
9100,9100,297,70,21
22400,22400,97,42,29
20300,20300,2,112,29
22400,22400,218,157,29
14700,14700,14,10,29
14700,14700,232,119,29
22300,22300,59,149,29
9100,9100,144,70,21
17200,17200,190,98,25
22400,22400,110,30,29
14700,14700,159,80,23
21300,21300,272,37,26
22400,22400,111,30,9
21300,21300,156,98,25
21300,21300,76,157,42
16200,16200,254,112,28
19200,19200,84,37,29
21300,21300,216,111,27
18300,18300,50,55,29
21300,21300,292,155,41
21300,21300,241,11,4
85200,85200,103,33,16
10100,10100,188,7,1
9100,9100,144,70,21
16200,16200,288,154,40
22300,22300,19,45,14
18300,18300,32,19,29
16200,16200,137,94,10
16200,16200,87,39,12
15200,15200,232,119,31
14700,14700,275,153,39
16200,16200,159,80,29
15200,15200,232,119,31
44600,44600,299,52,17
14700,14700,159,80,29
14700,14700,275,153,29
16200,16200,21,2,29
17200,17200,302,30,29
20300,20300,65,149,36
22300,22300,210,107,26
14700,14700,275,153,39
22300,22300,23,79,29
22400,22400,131,61,26
22300,22300,121,9,13
20300,20300,9,9,29
22300,22300,273,152,29
15700,15700,251,137,35
22300,22300,156,98,29
14700,14700,228,118,29
18300,18300,183,136,34
22400,22400,115,152,38
14700,14700,229,120,32
36600,36600,173,136,34
14700,14700,232,119,29
17300,17300,229,120,32
21300,21300,86,38,29
18300,18300,249,136,34
44100,44100,190,98,29
12500,12500,84,37,29
11500,11500,270,149,36
12000,12000,4,64,20
11000,11000,235,112,28
14700,14700,275,153,39
12500,12500,282,107,29
21300,21300,130,64,29
23400,23400,185,96,24
21300,21300,216,111,27
22300,22300,300,61,26
22300,22300,4,64,29
22400,22400,156,98,29
23400,23400,270,149,36
21300,21300,224,38,9
22300,22300,281,96,29
22300,22300,156,98,29
22300,22300,156,98,29
18300,18300,32,19,6
15500,15500,288,154,40
14700,14700,230,119,31
29400,29400,87,39,12
22300,22300,105,70,21
22300,22300,144,70,21
14700,14700,14,10,3
10100,10100,110,30,9
16200,16200,288,154,29
11100,11100,76,157,29
21300,21300,35,49,7
32500,32500,262,99,16
32500,32500,262,99,16
23300,23300,1,2,0
22300,22300,142,149,36
10100,10100,218,19,6
18200,18200,185,96,24
18300,18300,298,157,42
23400,23400,142,149,36
22300,22300,97,42,13
156100,156100,273,152,29
11600,11600,260,27,10
22400,22400,97,42,29
21300,21300,15,11,4
15700,15700,259,144,35
17300,17300,190,98,25
15700,15700,208,77,35
42200,42200,18,88,16
19800,19800,123,56,35
19800,19800,3,4,35
31500,31500,148,72,16
32500,32500,143,21,16
38600,38600,293,155,29
13200,13200,194,100,7
18300,18300,236,112,28
17300,17300,159,80,29
14700,14700,176,111,29
14700,14700,105,70,21
20300,20300,102,45,14
16200,16200,24,155,41
14700,14700,153,80,23
22300,22300,107,64,29
22300,22300,223,117,27
21300,21300,61,30,9
81200,81200,83,107,29
21300,21300,224,38,9
22300,22300,96,64,20
14700,14700,232,119,29
22300,22300,134,111,27
17300,17300,232,119,31
14700,14700,230,119,31
14700,14700,229,120,32
17300,17300,275,153,39
17200,17200,190,98,25
16200,16200,180,79,22
16200,16200,223,117,29
16200,16200,31,16,29
24400,24400,227,152,38
14700,14700,228,118,30
18300,18300,236,112,28
21300,21300,292,155,41
14700,14700,153,80,29
21300,21300,153,30,9
14700,14700,229,120,29
14700,14700,224,38,29
22300,22300,300,61,29
14700,14700,229,120,29
18300,18300,32,19,6
18300,18300,109,55,18
21300,21300,112,38,9
14700,14700,230,119,31
14700,14700,230,119,31
17300,17300,87,39,29
23400,23400,94,16,5
14700,14700,159,80,23
17200,17200,190,98,29
17200,17200,153,80,23
16200,16200,205,155,41
22300,22300,273,152,38
22400,22400,97,42,13
17200,17200,153,80,23
20300,20300,235,112,28
17200,17200,190,98,29
22400,22400,62,38,9
22300,22300,273,152,29
17200,17200,228,118,29
22300,22300,210,107,26
14200,14200,293,155,29
22300,22300,142,149,36
20300,20300,65,149,36
14700,14700,228,118,30
21300,21300,156,98,25
22300,22300,120,9,29
17200,17200,14,10,29
23400,23400,287,16,29
11100,11100,113,52,17
23000,23000,185,96,24
22300,22300,121,9,29
63900,63900,156,98,29
16200,16200,293,155,41
14700,14700,285,80,23
14700,14700,232,119,29
22300,22300,189,70,21
22300,22300,26,7,29
18300,18300,236,112,29
36600,36600,278,112,28
18300,18300,76,157,42
14700,14700,47,10,3
22400,22400,108,48,15
22400,22400,131,61,26
22300,22300,144,70,29
18300,18300,160,48,29
18300,18300,107,48,29
14700,14700,77,120,32
14700,14700,275,153,29
18300,18300,2,112,28
16200,16200,21,2,0
22300,22300,134,111,29
22300,22300,124,107,26
22300,22300,189,70,29
16200,16200,24,155,41
14700,14700,229,120,32
18300,18300,183,136,34
14700,14700,153,80,29
18300,18300,32,19,6
22300,22300,37,107,26
17300,17300,159,80,29
14700,14700,190,98,29
14700,14700,228,118,29
22300,22300,130,64,20
14700,14700,159,80,23
22300,22300,120,9,29
14200,14200,249,136,34
18300,18300,249,136,34
22300,22300,138,11,29
16200,16200,167,154,40
14700,14700,47,10,3
22300,22300,7,7,1
12000,12000,96,64,29
18300,18300,36,48,15
14700,14700,153,80,23
22300,22300,80,37,26
16200,16200,167,154,40
14700,14700,72,120,29
22300,22300,86,38,29
17300,17300,190,98,29
14700,14700,232,119,31
14700,14700,47,10,3
24400,24400,23,79,22
14700,14700,190,98,25
20300,20300,300,61,26
14700,14700,190,98,29
16200,16200,24,155,41
17200,17200,59,149,29
18300,18300,108,48,29
22300,22300,127,117,27
14700,14700,14,10,29
11100,11100,154,127,33
14700,14700,228,118,30
10100,10100,60,64,20
11600,11600,247,134,10
14700,14700,153,80,29
21300,21300,127,117,27
18300,18300,136,19,6
22300,22300,185,96,29
18300,18300,235,112,28
22300,22300,156,98,29
14700,14700,275,153,39
22300,22300,185,96,24
22300,22300,144,70,21
22300,22300,112,38,9
14700,14700,275,153,39
40600,40600,302,30,29
17300,17300,228,118,30
24400,24400,12,79,22
22400,22400,176,111,27
22300,22300,60,64,20
16200,16200,173,136,34
24400,24400,128,152,38
14700,14700,87,39,12
22300,22300,127,117,29
18300,18300,191,55,29
59400,59400,289,36,35
14700,14700,232,119,31
23400,23400,149,64,20
14700,14700,275,153,29
22300,22300,269,107,29
18300,18300,236,112,28
16200,16200,8,2,0
22300,22300,248,52,17
18300,18300,32,19,6
21300,21300,61,30,9
14700,14700,275,153,29
22300,22300,185,96,24
22300,22300,153,30,9
14700,14700,190,98,29
22300,22300,239,111,27
14700,14700,275,153,29
14700,14700,71,118,30
14700,14700,190,98,29
24400,24400,74,79,22
22300,22300,156,98,25
14700,14700,228,118,29
16200,16200,254,112,28
16200,16200,293,155,41
22300,22300,130,64,20
22300,22300,283,96,24
22300,22300,64,9,13
22300,22300,210,107,29
14700,14700,190,98,29
16200,16200,205,155,41
14700,14700,228,118,30
14700,14700,230,119,29
16200,16200,1,2,0
18300,18300,122,55,18
14700,14700,87,39,29
14700,14700,190,98,25
24400,24400,125,79,22
22400,22400,291,64,29
14700,14700,275,153,39
14700,14700,228,118,30
20300,20300,27,16,5
18300,18300,278,112,28
22300,22300,112,38,29
14700,14700,153,80,23
18300,18300,236,112,28
14700,14700,159,80,23
14700,14700,230,119,29
16200,16200,13,2,0
14700,14700,153,80,29
22300,22300,174,42,13
18300,18300,107,48,29
22300,22300,265,37,26
22300,22300,80,37,26
20300,20300,32,19,6
14700,14700,230,119,29
21300,21300,296,30,9
14700,14700,87,39,12
13200,13200,292,155,29
18300,18300,249,136,34
18300,18300,249,136,29
12000,12000,96,64,20
14700,14700,275,153,39
18300,18300,198,136,34
18300,18300,109,55,18
18300,18300,236,112,29
23400,23400,155,42,29
14700,14700,72,120,32
29400,29400,71,118,30
14700,14700,71,118,30
14700,14700,229,120,32
14700,14700,190,98,25
12500,12500,270,149,36
25000,25000,215,7,29
22300,22300,250,111,27
22300,22300,130,64,29
16200,16200,38,154,40
22300,22300,80,37,26
25400,25400,82,11,29
14700,14700,47,10,3
14700,14700,159,80,23
22300,22300,144,70,21
21300,21300,61,30,29
18300,18300,236,112,28
16200,16200,288,154,40
14700,14700,190,98,29
22300,22300,73,64,20
17200,17200,159,80,23
22300,22300,216,111,29
22300,22300,216,111,27
19300,19300,198,136,34
22300,22300,300,61,26
22300,22300,51,16,5
21300,21300,70,30,9
18300,18300,108,48,15
14700,14700,190,98,25
17300,17300,275,153,39
63900,63900,144,70,21
18300,18300,298,157,42
16200,16200,276,112,28
22300,22300,97,42,29
14700,14700,275,153,39
22300,22300,296,30,29
14700,14700,229,120,32
14700,14700,232,119,31
22300,22300,295,96,24
20300,20300,124,107,29
20300,20300,185,96,29
18300,18300,2,112,28
14700,14700,190,98,25
18300,18300,235,112,28
34400,34400,190,98,25
14700,14700,275,153,39
17200,17200,190,98,25
64800,64800,190,98,29
13000,13000,184,55,18
22300,22300,248,52,29
22300,22300,189,70,21
16200,16200,13,2,29
14700,14700,87,39,29
14700,14700,285,80,23
22300,22300,9,9,29
14700,14700,232,119,29
22300,22300,215,7,1
14700,14700,230,119,31
14700,14700,71,118,29
14700,14700,285,80,29
14700,14700,229,120,32
22300,22300,283,96,29
22300,22300,157,70,21
22400,22400,214,109,5
17200,17200,190,98,25
17300,17300,14,10,3
14700,14700,275,153,39
14700,14700,14,10,3
22300,22300,134,111,27
22400,22400,239,111,29
18300,18300,278,112,28
17300,17300,14,10,29
14700,14700,47,10,3
69100,69100,243,63,16
18300,18300,107,48,15
62000,62000,99,43,16
13900,13900,119,58,7
31200,31200,88,3,35
18300,18300,198,136,34
50800,50800,233,84,16
32500,32500,170,83,16
22400,22400,157,70,29
16200,16200,254,112,28
22300,22300,216,111,27
18300,18300,298,157,42
22300,22300,27,16,5
22300,22300,284,79,22
19300,19300,256,42,29
22300,22300,291,64,29
17300,17300,87,39,12
16200,16200,24,155,41
20300,20300,95,64,29
20300,20300,111,30,9
45700,45700,150,75,16
44600,44600,107,64,20
18300,18300,108,48,29
21300,21300,238,19,6
36600,36600,184,55,29
17300,17300,275,153,39
21300,21300,61,30,9
162000,162000,52,23,29
31500,31500,147,74,16
19800,19800,279,29,35
18300,18300,298,157,42
14700,14700,77,120,32
14700,14700,190,98,25
22300,22300,59,149,36
22300,22300,142,149,36
20300,20300,91,45,29
23000,23000,79,107,26
19200,19200,297,70,29
14700,14700,190,98,25
22300,22300,158,79,22
17300,17300,275,153,29
18300,18300,36,48,15
17300,17300,228,118,30
40700,40700,68,68,16
14700,14700,275,153,29
14700,14700,275,153,39
22300,22300,156,98,25
14700,14700,232,119,31
14700,14700,231,120,29
22300,22300,206,45,29
17300,17300,232,119,29
21300,21300,34,30,9
22400,22400,277,11,29
11500,11500,270,149,36
18300,18300,32,19,6
23400,23400,91,45,14
21300,21300,296,30,9
14700,14700,87,39,12
14700,14700,87,39,12
16200,16200,102,45,14
14000,14000,250,111,29
14000,14000,250,111,29
23400,23400,185,96,24
14700,14700,285,80,23
14700,14700,153,80,23
36600,36600,184,55,29
21300,21300,110,30,9
14700,14700,275,153,39
15200,15200,156,98,29
15200,15200,50,55,29
12100,12100,230,119,31
16200,16200,71,118,29
22300,22300,84,37,29
29400,29400,14,10,3
20300,20300,249,136,29
27400,27400,55,104,7
12100,12100,14,10,29
20300,20300,61,30,9
8100,8100,159,80,29
21300,21300,34,30,9
19300,19300,93,2,0
21300,21300,293,155,41
44600,44600,302,30,29
22400,22400,60,64,20
14700,14700,153,80,23
24400,24400,125,79,22
14700,14700,230,119,29
12100,12100,275,153,39
23400,23400,95,64,29
14200,14200,292,155,29
24400,24400,273,152,38
18200,18200,210,107,26
15200,15200,217,157,42
22300,22300,105,70,29
21300,21300,112,38,29
21300,21300,110,30,29
42600,42600,61,30,29
18300,18300,236,112,28
18300,18300,128,152,29
17300,17300,285,80,29
22400,22400,216,111,29
16200,16200,278,112,28
21300,21300,61,30,29
22400,22400,265,37,29
46800,46800,51,16,29
17200,17200,270,149,36
21300,21300,50,55,18
22300,22300,256,42,29
22300,22300,142,149,36
14700,14700,153,80,29
23400,23400,248,52,17
21300,21300,112,38,9
16200,16200,1,2,0
22400,22400,73,64,20
22400,22400,282,107,26
23400,23400,97,42,13
21300,21300,156,98,25
23400,23400,142,149,36
20300,20300,76,157,42
22300,22300,301,79,22
9100,9100,228,118,30
18300,18300,95,64,20
22400,22400,185,96,29
22300,22300,295,96,24
32500,32500,145,71,16
47200,47200,220,113,35
18300,18300,196,146,7
18300,18300,238,19,6
22300,22300,9,9,13
18300,18300,217,157,42
11100,11100,218,157,42
17200,17200,83,107,26
17200,17200,83,107,26
16200,16200,236,112,28
17200,17200,15,11,4
32400,32400,153,80,23
23400,23400,149,64,20
23000,23000,79,107,26
23400,23400,291,64,20
11600,11600,33,115,10
21300,21300,288,154,40
16200,16200,178,93,7
16200,16200,49,22,7
21300,21300,200,53,37
9100,9100,2,112,28
16200,16200,194,100,7
23500,23500,139,114,8
16200,16200,126,58,7
20300,20300,199,13,33
11100,11100,66,151,37
31500,31500,92,41,8
34500,34500,201,101,16
25400,25400,133,147,8
16200,16200,67,32,7
11100,11100,218,157,42
12100,12100,300,61,19
22800,22800,242,129,7
28400,28400,114,141,35
24000,24000,290,123,35
12100,12100,239,111,27
16200,16200,100,22,7
16200,16200,271,93,7
23000,23000,193,150,8
37600,37600,45,69,35
19800,19800,81,51,35
38600,38600,140,91,35
17300,17300,252,139,35
17300,17300,203,34,35
22300,22300,168,82,2
38600,38600,140,91,35
42700,42700,280,59,16
60000,60000,267,148,35
16200,16200,172,86,7
26400,26400,151,87,7
18300,18300,234,122,7
17300,17300,264,110,35
39600,39600,17,12,16
18300,18300,294,28,7
25800,25800,197,116,8
15200,15200,39,47,37
12100,12100,269,107,26
18300,18300,177,90,7
16200,16200,194,100,7
11100,11100,38,154,40
18300,18300,169,8,2
18300,18300,213,108,2
9100,9100,71,118,30
18300,18300,29,18,10
24400,24400,222,15,35
16200,16200,128,152,38
15200,15200,117,47,37
31500,31500,171,60,16
17300,17300,181,95,35
18300,18300,245,132,7
20000,20000,257,142,8
40700,40700,41,31,16
32500,32500,262,99,16
19800,19800,179,92,35
41600,41600,226,12,16
12100,12100,162,89,33
24400,24400,25,14,35
20300,20300,165,13,33
28400,28400,10,57,35
18300,18300,53,106,7
25400,25400,212,78,8
11100,11100,73,64,20
22800,22800,132,65,37
9100,9100,87,39,12
24400,24400,164,81,35
25800,25800,90,40,8
18300,18300,234,122,7
18300,18300,28,17,10
14200,14200,229,120,32
22400,22400,86,38,9
18300,18300,56,66,7
18300,18300,298,157,29
22300,22300,224,38,29
36600,36600,235,112,29
29400,29400,71,118,30
14700,14700,229,120,29
40600,40600,61,30,9
20300,20300,157,70,21
20300,20300,249,136,34
20300,20300,84,37,29
22300,22300,74,79,22
12500,12500,161,61,19
51800,51800,253,140,35
15200,15200,58,25,7
51800,51800,219,113,35
17300,17300,56,66,7
22300,22300,157,70,21
22300,22300,174,42,13
22300,22300,291,64,20
14700,14700,14,10,3
8100,8100,14,10,3
16200,16200,287,16,29
73500,73500,47,10,29
14700,14700,189,70,21
88200,88200,87,39,29
22300,22300,270,149,36
14700,14700,232,119,31
12100,12100,228,118,29
14700,14700,120,9,13
14700,14700,51,16,29
11600,11600,266,26,10
22400,22400,95,64,20
21300,21300,160,48,15
48900,48900,129,0,16
11200,11200,20,4,35
10500,10500,270,149,36
14700,14700,47,10,3
15200,15200,110,30,9
14700,14700,275,153,29
18300,18300,76,157,42
22300,22300,144,70,21
22300,22300,70,30,9
22300,22300,7,7,29
17200,17200,190,98,29
